"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"27/07/2022","1,191.04","1,185.07","1,191.04","1,178.58","445.14K","0.50%"
"26/07/2022","1,185.07","1,188.50","1,194.15","1,184.44","434.80K","-0.29%"
"25/07/2022","1,188.50","1,191.43","1,198.16","1,184.32","437.85K","-0.52%"
"22/07/2022","1,194.76","1,198.47","1,202.69","1,194.76","477.95K","-0.31%"
"21/07/2022","1,198.47","1,194.14","1,201.91","1,194.14","530.31K","0.36%"
"20/07/2022","1,194.14","1,178.33","1,198.63","1,178.33","648.00K","1.34%"
"19/07/2022","1,178.33","1,176.49","1,180.46","1,168.99","532.69K","0.16%"
"18/07/2022","1,176.49","1,179.25","1,184.93","1,174.70","523.73K","-0.23%"
"15/07/2022","1,179.25","1,182.17","1,189.66","1,178.12","604.01K","-0.25%"
"14/07/2022","1,182.17","1,173.92","1,182.17","1,170.04","534.74K","0.70%"
"13/07/2022","1,173.92","1,173.46","1,182.21","1,170.92","564.00K","-0.08%"
"12/07/2022","1,174.82","1,155.29","1,174.82","1,153.55","525.11K","1.69%"
"11/07/2022","1,155.29","1,171.31","1,171.31","1,144.55","538.71K","-1.37%"
"08/07/2022","1,171.31","1,166.48","1,177.18","1,164.23","476.37K","0.41%"
"07/07/2022","1,166.48","1,149.61","1,166.48","1,142.80","411.79K","1.47%"
"06/07/2022","1,149.61","1,181.29","1,181.29","1,147.63","556.46K","-2.68%"
"05/07/2022","1,181.29","1,195.53","1,200.99","1,181.29","612.00K","-1.19%"
"04/07/2022","1,195.53","1,206.47","1,208.96","1,192.63","442.82K","-0.28%"
"01/07/2022","1,198.90","1,197.60","1,202.41","1,170.95","534.07K","0.11%"
"30/06/2022","1,197.60","1,218.09","1,220.51","1,197.60","510.22K","-1.68%"
"29/06/2022","1,218.09","1,218.10","1,219.58","1,207.38","560.59K","0.00%"
"28/06/2022","1,218.10","1,202.82","1,221.74","1,198.99","588.39K","1.27%"
"27/06/2022","1,202.82","1,185.48","1,203.51","1,185.48","526.96K","1.46%"
"24/06/2022","1,185.48","1,188.88","1,196.85","1,185.48","478.69K","-0.29%"
"23/06/2022","1,188.88","1,169.27","1,188.88","1,162.06","440.78K","1.68%"
"22/06/2022","1,169.27","1,172.47","1,185.86","1,162.98","592.48K","-0.27%"
"21/06/2022","1,172.47","1,180.40","1,189.97","1,162.94","694.93K","-0.67%"
"20/06/2022","1,180.40","1,218.37","1,221.60","1,180.40","669.55K","-3.03%"
"17/06/2022","1,217.30","1,236.63","1,236.63","1,191.92","738.58K","-1.56%"
"16/06/2022","1,236.63","1,213.93","1,246.32","1,213.93","561.69K","1.87%"
"15/06/2022","1,213.93","1,230.31","1,235.56","1,195.19","688.12K","-1.33%"
"14/06/2022","1,230.31","1,227.04","1,239.36","1,211.13","560.89K","0.27%"
"13/06/2022","1,227.04","1,284.08","1,284.08","1,226.01","733.45K","-4.44%"
"10/06/2022","1,284.08","1,307.80","1,309.59","1,284.08","603.29K","-1.81%"
"09/06/2022","1,307.80","1,307.91","1,312.44","1,300.85","465.66K","-0.01%"
"08/06/2022","1,307.91","1,291.35","1,316.78","1,291.35","584.57K","1.28%"
"07/06/2022","1,291.35","1,290.01","1,291.35","1,260.92","670.87K","0.10%"
"06/06/2022","1,290.01","1,287.98","1,302.14","1,281.95","589.89K","0.16%"
"03/06/2022","1,287.98","1,288.62","1,292.78","1,276.37","473.81K","-0.05%"
"02/06/2022","1,288.62","1,299.52","1,302.66","1,283.32","572.55K","-0.84%"
"01/06/2022","1,299.52","1,292.68","1,302.25","1,286.01","573.63K","0.53%"
"31/05/2022","1,292.68","1,293.92","1,297.64","1,280.44","591.09K","-0.10%"
"30/05/2022","1,293.92","1,285.45","1,296.22","1,281.27","587.23K","0.66%"
"27/05/2022","1,285.45","1,268.57","1,286.99","1,268.57","607.22K","1.33%"
"26/05/2022","1,268.57","1,268.43","1,278.11","1,261.55","541.91K","0.01%"
"25/05/2022","1,268.43","1,233.38","1,268.43","1,233.38","655.24K","2.84%"
"24/05/2022","1,233.38","1,218.81","1,233.38","1,203.28","528.48K","1.20%"
"23/05/2022","1,218.81","1,240.71","1,246.58","1,207.99","557.43K","-1.77%"
"20/05/2022","1,240.71","1,241.64","1,252.96","1,232.33","504.69K","-0.07%"
"19/05/2022","1,241.64","1,240.76","1,246.66","1,210.43","496.73K","0.07%"
"18/05/2022","1,240.76","1,228.37","1,249.84","1,222.92","566.36K","1.01%"
"17/05/2022","1,228.37","1,171.95","1,228.37","1,156.54","583.96K","4.81%"
"16/05/2022","1,171.95","1,182.77","1,215.96","1,170.59","584.39K","-0.91%"
"13/05/2022","1,182.77","1,238.84","1,238.84","1,180.60","816.99K","-4.53%"
"12/05/2022","1,238.84","1,301.53","1,301.53","1,238.05","557.89K","-4.82%"
"11/05/2022","1,301.53","1,293.56","1,305.17","1,277.91","418.23K","0.62%"
"10/05/2022","1,293.56","1,269.62","1,293.56","1,232.57","665.48K","1.89%"
"09/05/2022","1,269.62","1,329.26","1,329.26","1,265.54","673.76K","-4.49%"
"06/05/2022","1,329.26","1,360.68","1,360.68","1,328.13","564.07K","-2.31%"
"05/05/2022","1,360.68","1,348.68","1,362.18","1,331.41","531.08K","0.89%"
"04/05/2022","1,348.68","1,366.11","1,366.39","1,348.68","528.29K","-1.33%"
"29/04/2022","1,366.80","1,350.99","1,369.31","1,343.24","598.40K","1.17%"
"28/04/2022","1,350.99","1,353.77","1,358.07","1,344.10","485.12K","-0.21%"
"27/04/2022","1,353.77","1,341.34","1,355.92","1,314.81","519.56K","0.93%"
"26/04/2022","1,341.34","1,310.92","1,341.34","1,261.40","727.65K","2.32%"
"25/04/2022","1,310.92","1,379.23","1,382.13","1,298.38","762.88K","-4.95%"
"22/04/2022","1,379.23","1,370.21","1,392.89","1,352.43","834.41K","0.66%"
"21/04/2022","1,370.21","1,384.72","1,392.33","1,356.58","810.67K","-1.05%"
"20/04/2022","1,384.72","1,401.63","1,410.64","1,384.72","688.33K","-1.55%"
"19/04/2022","1,406.45","1,432.60","1,442.04","1,406.45","702.35K","-1.83%"
"18/04/2022","1,432.60","1,458.56","1,458.56","1,425.07","827.69K","-1.78%"
"15/04/2022","1,458.56","1,472.12","1,478.95","1,456.39","659.47K","-0.92%"
"14/04/2022","1,472.12","1,477.20","1,484.34","1,471.75","523.37K","-0.34%"
"13/04/2022","1,477.20","1,455.25","1,477.20","1,448.52","674.79K","1.51%"
"12/04/2022","1,455.25","1,482.00","1,490.58","1,455.25","680.06K","-1.80%"
"08/04/2022","1,482.00","1,502.35","1,507.73","1,482.00","763.56K","-1.35%"
"07/04/2022","1,502.35","1,522.90","1,524.92","1,502.35","795.13K","-1.35%"
"06/04/2022","1,522.90","1,520.03","1,523.75","1,507.62","944.04K","0.19%"
"05/04/2022","1,520.03","1,524.70","1,527.57","1,519.28","703.53K","-0.31%"
"04/04/2022","1,524.70","1,516.44","1,530.95","1,516.44","779.58K","0.54%"
"01/04/2022","1,516.44","1,492.15","1,516.87","1,484.13","967.67K","1.63%"
"31/03/2022","1,492.15","1,490.51","1,498.41","1,488.27","684.54K","0.11%"
"30/03/2022","1,490.51","1,497.76","1,503.89","1,483.90","901.49K","-0.48%"
"29/03/2022","1,497.76","1,483.18","1,498.45","1,483.18","737.94K","0.98%"
"28/03/2022","1,483.18","1,498.50","1,498.50","1,473.80","1.07M","-1.02%"
"25/03/2022","1,498.50","1,500.17","1,503.29","1,494.55","768.94K","0.02%"
"24/03/2022","1,498.26","1,502.34","1,505.39","1,495.18","784.91K","-0.27%"
"23/03/2022","1,502.34","1,503.78","1,513.90","1,501.67","861.13K","-0.10%"
"22/03/2022","1,503.78","1,494.95","1,507.71","1,494.95","947.70K","0.59%"
"21/03/2022","1,494.95","1,474.78","1,494.95","1,474.38","792.16K","1.76%"
"18/03/2022","1,469.10","1,461.34","1,474.86","1,461.34","795.73K","0.53%"
"17/03/2022","1,461.34","1,459.33","1,467.74","1,459.14","717.44K","0.14%"
"16/03/2022","1,459.33","1,452.74","1,462.98","1,452.74","624.22K","0.45%"
"15/03/2022","1,452.74","1,446.25","1,453.07","1,437.27","675.63K","0.45%"
"14/03/2022","1,446.25","1,466.54","1,466.54","1,439.19","858.57K","-1.38%"
"11/03/2022","1,466.54","1,479.08","1,480.29","1,458.88","878.19K","-0.85%"
"10/03/2022","1,479.08","1,473.74","1,488.59","1,473.74","649.94K","0.36%"
"09/03/2022","1,473.74","1,473.71","1,482.86","1,462.80","930.30K","0.00%"
"08/03/2022","1,473.71","1,499.05","1,499.05","1,473.71","1.04M","-1.69%"
"07/03/2022","1,499.05","1,505.33","1,505.33","1,493.87","981.72K","-0.42%"
"04/03/2022","1,505.33","1,505.00","1,509.19","1,501.39","928.92K","0.02%"
"03/03/2022","1,505.00","1,485.52","1,505.00","1,485.52","929.21K","1.31%"
"02/03/2022","1,485.52","1,499.37","1,500.41","1,479.55","941.55K","-0.88%"
"01/03/2022","1,498.78","1,490.13","1,501.73","1,490.13","842.43K","0.58%"
"28/02/2022","1,490.13","1,498.89","1,502.36","1,487.57","729.79K","-0.58%"
"25/02/2022","1,498.89","1,494.85","1,512.05","1,494.85","768.01K","0.27%"
"24/02/2022","1,494.85","1,512.30","1,513.25","1,473.76","1.16M","-1.15%"
"23/02/2022","1,512.30","1,503.47","1,520.78","1,503.47","694.65K","0.59%"
"22/02/2022","1,503.47","1,510.84","1,510.84","1,484.81","908.05K","-0.49%"
"21/02/2022","1,510.84","1,504.84","1,516.63","1,500.97","791.92K","0.40%"
"18/02/2022","1,504.84","1,507.99","1,507.99","1,492.38","697.55K","-0.21%"
"17/02/2022","1,507.99","1,492.10","1,507.99","1,492.10","615.79K","1.06%"
"16/02/2022","1,492.10","1,492.75","1,499.50","1,486.68","702.52K","-0.04%"
"15/02/2022","1,492.75","1,471.96","1,495.56","1,470.06","606.42K","1.41%"
"14/02/2022","1,471.96","1,501.71","1,501.71","1,471.96","810.72K","-1.98%"
"11/02/2022","1,501.71","1,506.79","1,508.54","1,499.06","636.28K","-0.34%"
"10/02/2022","1,506.79","1,510.66","1,512.88","1,495.70","680.25K","0.09%"
"09/02/2022","1,505.38","1,500.99","1,511.72","1,499.53","794.74K","0.29%"
"08/02/2022","1,500.99","1,497.66","1,503.33","1,491.78","734.76K","0.22%"
"07/02/2022","1,497.66","1,478.96","1,505.69","1,478.96","578.17K","1.26%"
"28/01/2022","1,478.96","1,470.76","1,484.48","1,465.22","702.68K","0.56%"
"27/01/2022","1,470.76","1,481.58","1,486.39","1,464.06","564.60K","-0.73%"
"26/01/2022","1,481.58","1,479.58","1,490.45","1,478.41","813.18K","0.14%"
"25/01/2022","1,479.58","1,439.71","1,479.58","1,424.36","751.39K","2.77%"
"24/01/2022","1,439.71","1,472.89","1,472.89","1,432.18","828.13K","-2.25%"
"21/01/2022","1,472.89","1,465.30","1,477.23","1,463.06","811.35K","0.52%"
"20/01/2022","1,465.30","1,442.79","1,469.08","1,432.58","785.76K","1.56%"
"19/01/2022","1,442.79","1,438.94","1,449.11","1,434.46","637.63K","0.27%"
"18/01/2022","1,438.94","1,452.84","1,452.84","1,424.65","739.29K","-0.96%"
"17/01/2022","1,452.84","1,496.02","1,503.86","1,452.84","987.10K","-2.89%"
"14/01/2022","1,496.02","1,496.05","1,503.25","1,476.68","785.61K","0.00%"
"13/01/2022","1,496.05","1,510.51","1,522.60","1,495.13","995.82K","-0.96%"
"12/01/2022","1,510.51","1,489.11","1,510.51","1,464.49","1.13M","1.22%"
"11/01/2022","1,492.31","1,503.71","1,512.05","1,488.40","1.25M","-0.76%"
"10/01/2022","1,503.71","1,528.48","1,536.45","1,503.71","1.38M","-1.62%"
"07/01/2022","1,528.48","1,534.10","1,534.52","1,524.96","1.03M","-0.01%"
"06/01/2022","1,528.57","1,522.50","1,536.24","1,518.18","1.13M","0.40%"
"05/01/2022","1,522.50","1,525.58","1,535.82","1,522.50","1.06M","-0.20%"
"04/01/2022","1,525.58","1,508.55","1,526.69","1,507.19","891.30K","1.82%"
"31/12/2021","1,498.28","1,485.97","1,499.07","1,485.97","875.73K","0.83%"
"30/12/2021","1,485.97","1,490.96","1,493.38","1,484.82","747.86K","0.01%"
"29/12/2021","1,485.82","1,494.39","1,498.91","1,485.82","843.88K","-0.57%"
"28/12/2021","1,494.39","1,488.88","1,499.77","1,483.97","1.00M","0.37%"
"27/12/2021","1,488.88","1,477.03","1,490.12","1,469.91","752.11K","0.80%"
"24/12/2021","1,477.03","1,456.96","1,478.80","1,456.32","889.48K","1.38%"
"23/12/2021","1,456.96","1,477.67","1,481.21","1,447.14","1.36M","-1.40%"
"22/12/2021","1,477.67","1,478.74","1,489.24","1,471.84","1.07M","-0.07%"
"21/12/2021","1,478.74","1,477.33","1,486.09","1,472.43","902.84K","0.10%"
"20/12/2021","1,477.33","1,479.79","1,483.85","1,468.88","963.35K","-0.17%"
"17/12/2021","1,479.79","1,476.61","1,487.73","1,476.61","1.11M","0.22%"
"16/12/2021","1,476.61","1,475.50","1,482.32","1,468.95","927.54K","0.08%"
"15/12/2021","1,475.50","1,476.02","1,481.67","1,468.21","906.08K","-0.04%"
"14/12/2021","1,476.02","1,476.21","1,485.14","1,469.21","964.11K","-0.01%"
"13/12/2021","1,476.21","1,463.54","1,481.70","1,463.54","865.58K","0.87%"
"10/12/2021","1,463.54","1,467.98","1,475.85","1,461.78","798.29K","-0.30%"
"09/12/2021","1,467.98","1,452.87","1,467.98","1,446.88","665.46K","1.04%"
"08/12/2021","1,452.87","1,446.77","1,460.28","1,446.77","771.03K","0.42%"
"07/12/2021","1,446.77","1,413.58","1,446.77","1,413.58","755.91K","2.35%"
"06/12/2021","1,413.58","1,443.32","1,452.55","1,400.87","1.04M","-2.06%"
"03/12/2021","1,443.32","1,482.05","1,491.20","1,443.32","1.10M","-2.61%"
"02/12/2021","1,482.05","1,485.19","1,493.84","1,482.05","763.96K","-0.21%"
"01/12/2021","1,485.19","1,478.44","1,487.68","1,471.30","876.73K","0.46%"
"30/11/2021","1,478.44","1,484.84","1,503.09","1,471.57","1.08M","-0.43%"
"29/11/2021","1,484.84","1,493.03","1,493.03","1,464.83","1.01M","-0.55%"
"26/11/2021","1,493.03","1,500.81","1,511.68","1,488.83","1.06M","-0.52%"
"25/11/2021","1,500.81","1,488.87","1,505.36","1,488.87","1.01M","0.80%"
"24/11/2021","1,488.87","1,463.63","1,491.05","1,463.63","1.12M","1.72%"
"23/11/2021","1,463.63","1,447.25","1,463.63","1,438.41","880.07K","1.13%"
"22/11/2021","1,447.25","1,452.35","1,466.46","1,442.85","1.27M","-0.35%"
